id,treat,age,educ,race,married,nodegree,re74,re75,re78,subclass,weight,is_treated
NSW12,1,21,13,black,0,0,0.0,0.0,17094.64,NSW12,1.0,True
PSID381,0,21,13,black,0,0,0.0,0.0,17941.08,NSW12,1.0,False
NSW120,1,23,12,black,0,0,5506.308,501.0741,671.3318,NSW120,1.0,True
PSID335,0,19,12,black,0,0,1681.051,0.0,0.0,NSW120,1.0,False
NSW123,1,19,9,black,0,1,0.0,798.9079,17685.18,NSW123,1.0,True
PSID218,0,17,9,black,0,1,0.0,981.0968,8900.347,NSW123,1.0,False
NSW124,1,27,13,white,1,0,9381.566,853.7225,0.0,NSW124,1.0,True
PSID259,0,24,12,white,1,0,9051.813,327.629,8547.171,NSW124,1.0,False
NSW125,1,18,11,white,0,1,3678.231,919.5579,4321.705,NSW125,1.0,True
PSID325,0,18,10,white,0,1,3360.143,0.0,0.0,NSW125,1.0,False
NSW127,1,22,12,black,0,0,5605.852,936.1773,0.0,NSW127,1.0,True
PSID191,0,18,12,black,0,0,1579.169,1408.984,3057.416,NSW127,1.0,False
NSW128,1,23,10,black,1,1,0.0,936.4386,11233.26,NSW128,1.0,True
PSID214,0,20,11,white,1,1,2547.047,1099.258,0.0,NSW128,1.0,False
NSW129,1,23,12,hispan,0,0,9385.74,1117.439,559.4432,NSW129,1.0,True
PSID76,0,26,12,hispan,0,0,7968.338,5109.581,4181.966,NSW129,1.0,False
NSW13,1,18,8,black,0,1,0.0,0.0,0.0,NSW13,1.0,True
PSID398,0,17,8,black,0,1,0.0,0.0,4520.366,NSW13,1.0,False
NSW130,1,20,11,black,0,1,3637.498,1220.836,1085.44,NSW130,1.0,True
PSID231,0,18,11,black,0,1,587.78,841.4516,7933.914,NSW130,1.0,False
NSW131,1,17,9,black,0,1,1716.509,1253.439,5445.2,NSW131,1.0,True
PSID173,0,18,9,black,0,1,1183.397,1822.548,803.8833,NSW131,1.0,False
NSW133,1,26,11,black,1,1,0.0,1392.853,1460.36,NSW133,1.0,True
PSID408,0,46,11,black,1,1,0.0,0.0,0.0,NSW133,1.0,False
NSW134,1,20,11,black,0,1,16318.62,1484.994,6943.342,NSW134,1.0,True
PSID93,0,22,10,white,0,1,17268.98,4400.613,2453.026,NSW134,1.0,False
NSW135,1,24,11,black,1,1,824.3886,1666.113,4032.708,NSW135,1.0,True
PSID167,0,22,11,white,1,1,3030.986,1976.516,0.0,NSW135,1.0,False
NSW137,1,23,8,white,1,1,0.0,1713.15,4232.309,NSW137,1.0,True
PSID235,0,24,8,white,1,1,213.5601,760.8871,2340.719,NSW137,1.0,False
NSW138,1,18,10,black,0,1,2143.411,1784.274,11141.39,NSW138,1.0,True
PSID179,0,18,11,black,0,1,2068.986,1623.823,20243.38,NSW138,1.0,False
NSW139,1,29,12,black,0,0,10881.94,1817.284,0.0,NSW139,1.0,True
PSID159,0,28,12,black,0,0,6285.328,2255.806,7310.313,NSW139,1.0,False
NSW140,1,26,11,white,0,1,0.0,2226.266,13385.86,NSW140,1.0,True
PSID180,0,21,10,white,0,1,1767.259,1555.79,7675.312,NSW140,1.0,False
NSW142,1,25,12,black,0,0,14426.79,2409.274,0.0,NSW142,1.0,True
PSID217,0,32,16,black,0,0,17135.75,1031.226,0.0,NSW142,1.0,False
NSW144,1,46,8,black,0,1,3165.658,2594.723,0.0,NSW144,1.0,True
PSID326,0,45,8,black,0,1,3299.405,0.0,31.03226,NSW144,1.0,False
NSW145,1,31,12,white,0,0,0.0,2611.218,2484.549,NSW145,1.0,True
PSID112,0,28,13,white,0,0,5260.631,3790.113,9253.524,NSW145,1.0,False
NSW146,1,19,11,black,0,1,2305.026,2615.276,4146.603,NSW146,1.0,True
PSID187,0,18,11,black,0,1,1191.234,1478.806,3683.972,NSW146,1.0,False
NSW147,1,19,8,black,0,1,0.0,2657.057,9970.681,NSW147,1.0,True
PSID157,0,17,7,black,0,1,1054.086,2286.242,1613.677,NSW147,1.0,False
NSW149,1,26,11,black,1,1,0.0,2754.646,26372.28,NSW149,1.0,True
PSID148,0,24,10,white,1,1,4719.874,2565.532,2173.736,NSW149,1.0,False
NSW15,1,17,7,black,0,1,0.0,0.0,3023.879,NSW15,1.0,True
PSID278,0,16,7,black,0,1,133.2301,205.8871,6145.865,NSW15,1.0,False
NSW150,1,20,10,black,0,1,5005.731,2777.355,5615.189,NSW150,1.0,True
PSID134,0,19,11,black,0,1,5607.422,3054.29,94.5745,NSW150,1.0,False
NSW152,1,24,12,black,0,0,13765.75,2842.764,6167.681,NSW152,1.0,True
PSID99,0,28,12,black,0,0,16722.34,4253.806,7314.747,NSW152,1.0,False
NSW154,1,23,12,black,0,0,6269.341,3039.96,8484.239,NSW154,1.0,True
PSID91,0,30,16,white,0,0,3093.682,4468.645,15538.29,NSW154,1.0,False
NSW155,1,42,9,black,1,1,0.0,3058.531,1294.409,NSW155,1.0,True
PSID428,0,32,5,black,1,1,0.0,0.0,187.6713,NSW155,1.0,False
NSW156,1,25,13,black,0,0,12362.93,3090.732,0.0,NSW156,1.0,True
PSID69,0,30,17,black,0,0,17827.37,5546.419,14421.13,NSW156,1.0,False
NSW157,1,18,9,black,0,1,0.0,3287.375,5010.342,NSW157,1.0,True
PSID140,0,19,9,black,0,1,1079.556,2873.468,14344.29,NSW157,1.0,False
NSW158,1,21,12,black,0,0,6473.683,3332.409,9371.037,NSW158,1.0,True
PSID110,0,20,12,black,0,0,5099.971,3842.032,12718.79,NSW158,1.0,False
NSW163,1,24,10,black,1,1,11703.2,4078.152,0.0,NSW163,1.0,True
PSID27,0,36,9,black,1,1,13256.4,8457.484,0.0,NSW163,1.0,False
NSW165,1,29,12,black,0,0,9748.387,4878.937,10976.51,NSW165,1.0,True
PSID113,0,24,15,white,0,0,12746.99,3743.565,0.0,NSW165,1.0,False
NSW166,1,19,10,white,0,1,0.0,5324.109,13829.62,NSW166,1.0,True
PSID89,0,16,9,white,0,1,2539.21,4579.645,0.0,NSW166,1.0,False
NSW167,1,19,11,hispan,1,1,5424.485,5463.803,6788.463,NSW167,1.0,True
PSID114,0,28,8,hispan,1,1,8305.332,3718.5,0.0,NSW167,1.0,False
NSW168,1,31,9,black,0,1,10717.03,5517.841,9558.501,NSW168,1.0,True
PSID96,0,47,10,black,0,1,21918.32,4323.629,19438.02,NSW168,1.0,False
NSW169,1,22,10,black,1,1,1468.348,5588.664,13228.28,NSW169,1.0,True
PSID115,0,20,11,white,1,1,5822.941,3532.306,11075.56,NSW169,1.0,False
NSW172,1,26,12,black,1,0,8408.762,5794.831,1424.944,NSW172,1.0,True
PSID41,0,22,12,black,1,0,9729.719,7372.548,2231.367,NSW172,1.0,False
NSW173,1,20,9,hispan,0,1,12260.78,5875.049,1358.643,NSW173,1.0,True
PSID17,0,25,9,hispan,0,1,5460.477,10589.76,7539.361,NSW173,1.0,False
NSW175,1,26,10,black,0,1,25929.68,6788.958,672.8773,NSW175,1.0,True
PSID300,0,22,8,black,1,1,16961.37,0.0,959.0445,NSW175,1.0,False
NSW177,1,22,12,hispan,1,0,492.2305,7055.702,10092.83,NSW177,1.0,True
PSID95,0,25,12,hispan,1,0,2266.872,4361.226,3020.473,NSW177,1.0,False
NSW179,1,22,12,white,0,0,6759.994,8455.504,12590.71,NSW179,1.0,True
PSID72,0,28,12,white,0,0,8256.35,5279.661,21602.88,NSW179,1.0,False
NSW180,1,29,10,hispan,0,1,0.0,8853.674,5112.014,NSW180,1.0,True
PSID66,0,26,8,hispan,0,1,3168.134,5872.258,11136.15,NSW180,1.0,False
NSW181,1,33,12,black,1,0,20279.95,10941.35,15952.6,NSW181,1.0,True
PSID59,0,36,12,black,1,0,11040.47,6221.371,7215.739,NSW181,1.0,False
NSW182,1,25,14,black,1,0,35040.07,11536.57,36646.95,NSW182,1.0,True
PSID3,0,25,16,white,1,0,25862.32,15316.21,25564.67,NSW182,1.0,False
NSW183,1,35,9,black,1,1,13602.43,13830.64,12803.97,NSW183,1.0,True
PSID6,0,37,9,black,1,1,13685.48,12756.05,17833.2,NSW183,1.0,False
NSW184,1,35,8,black,1,1,13732.07,17976.15,3786.628,NSW184,1.0,True
PSID5,0,25,9,black,1,1,14829.69,13776.53,0.0,NSW184,1.0,False
NSW185,1,33,11,black,1,1,14660.71,25142.24,4181.942,NSW185,1.0,True
PSID1,0,30,12,white,1,0,20166.73,18347.23,25564.67,NSW185,1.0,False
NSW2,1,22,9,hispan,0,1,0.0,0.0,3595.894,NSW2,1.0,True
PSID341,0,20,9,hispan,0,1,1500.798,0.0,12618.31,NSW2,1.0,False
NSW20,1,26,12,black,0,0,0.0,0.0,10747.35,NSW20,1.0,True
PSID189,0,26,12,black,0,0,0.0,1448.371,0.0,NSW20,1.0,False
NSW22,1,41,14,white,0,0,0.0,0.0,5149.501,NSW22,1.0,True
PSID410,0,42,16,white,0,0,0.0,0.0,23764.8,NSW22,1.0,False
NSW23,1,38,9,white,0,1,0.0,0.0,6408.95,NSW23,1.0,True
PSID224,0,39,11,white,0,1,0.0,930.9677,0.0,NSW23,1.0,False
NSW25,1,18,10,black,0,1,0.0,0.0,11163.17,NSW25,1.0,True
PSID411,0,18,10,black,0,1,0.0,0.0,5306.516,NSW25,1.0,False
NSW28,1,27,10,hispan,0,1,0.0,0.0,11142.87,NSW28,1.0,True
PSID339,0,26,9,hispan,0,1,1563.495,0.0,2862.356,NSW28,1.0,False
NSW3,1,30,12,black,0,0,0.0,0.0,24909.45,NSW3,1.0,True
PSID416,0,34,12,black,0,0,0.0,0.0,0.0,NSW3,1.0,False
NSW31,1,17,10,black,0,1,0.0,0.0,0.0,NSW31,1.0,True
PSID406,0,16,10,black,0,1,0.0,0.0,1730.418,NSW31,1.0,False
NSW32,1,48,4,black,0,1,0.0,0.0,6551.592,NSW32,1.0,True
PSID419,0,51,4,black,0,1,0.0,0.0,0.0,NSW32,1.0,False
NSW33,1,25,11,black,1,1,0.0,0.0,1574.424,NSW33,1.0,True
PSID382,0,29,11,white,1,1,0.0,0.0,0.0,NSW33,1.0,False
NSW34,1,20,12,black,0,0,0.0,0.0,0.0,NSW34,1.0,True
PSID373,0,20,12,black,0,0,0.0,0.0,0.0,NSW34,1.0,False
NSW37,1,25,5,black,0,1,0.0,0.0,6181.88,NSW37,1.0,True
PSID228,0,17,5,black,0,1,96.00407,868.3065,0.0,NSW37,1.0,False
NSW38,1,23,12,black,1,0,0.0,0.0,5911.551,NSW38,1.0,True
PSID331,0,24,12,black,1,0,2355.039,0.0,2448.593,NSW38,1.0,False
NSW39,1,46,8,black,1,1,0.0,0.0,3094.156,NSW39,1.0,True
PSID238,0,52,8,black,1,1,5454.599,666.0,0.0,NSW39,1.0,False
NSW42,1,19,9,white,0,1,0.0,0.0,13188.83,NSW42,1.0,True
PSID397,0,16,9,white,0,1,0.0,0.0,6494.608,NSW42,1.0,False
NSW44,1,18,8,hispan,1,1,0.0,0.0,2787.96,NSW44,1.0,True
PSID391,0,16,9,hispan,1,1,0.0,0.0,6821.186,NSW44,1.0,False
NSW46,1,25,11,black,1,1,0.0,0.0,0.0,NSW46,1.0,True
PSID293,0,31,12,black,1,0,0.0,42.96774,11023.84,NSW46,1.0,False
NSW47,1,17,8,black,0,1,0.0,0.0,0.0,NSW47,1.0,True
PSID256,0,17,8,black,0,1,0.0,451.1613,0.0,NSW47,1.0,False
NSW48,1,17,9,black,0,1,0.0,0.0,0.0,NSW48,1.0,True
PSID370,0,16,9,black,0,1,0.0,0.0,2158.959,NSW48,1.0,False
NSW49,1,25,5,black,0,1,0.0,0.0,12187.41,NSW49,1.0,True
PSID333,0,19,6,black,0,1,1955.348,0.0,14998.92,NSW49,1.0,False
NSW50,1,23,12,black,0,0,0.0,0.0,4843.176,NSW50,1.0,True
PSID269,0,23,13,black,0,0,172.4155,272.129,582.2243,NSW50,1.0,False
NSW52,1,31,11,black,1,1,0.0,0.0,8087.487,NSW52,1.0,True
PSID343,0,36,11,white,1,1,1404.794,0.0,0.0,NSW52,1.0,False
NSW53,1,18,11,black,0,1,0.0,0.0,0.0,NSW53,1.0,True
PSID389,0,18,11,black,0,1,0.0,0.0,7146.286,NSW53,1.0,False
NSW56,1,17,10,black,0,1,0.0,0.0,0.0,NSW56,1.0,True
PSID392,0,17,10,black,0,1,0.0,0.0,0.0,NSW56,1.0,False
NSW57,1,37,9,black,0,1,0.0,0.0,1067.506,NSW57,1.0,True
PSID400,0,37,8,black,0,1,0.0,0.0,648.722,NSW57,1.0,False
NSW58,1,41,4,black,1,1,0.0,0.0,7284.986,NSW58,1.0,True
PSID420,0,39,2,black,1,1,0.0,0.0,964.9555,NSW58,1.0,False
NSW59,1,42,14,black,1,0,0.0,0.0,13167.52,NSW59,1.0,True
PSID380,0,34,12,black,1,0,0.0,0.0,18716.88,NSW59,1.0,False
NSW60,1,22,11,white,0,1,0.0,0.0,1048.432,NSW60,1.0,True
PSID353,0,19,11,white,0,1,540.7576,0.0,3406.16,NSW60,1.0,False
NSW61,1,17,8,black,0,1,0.0,0.0,0.0,NSW61,1.0,True
PSID376,0,17,8,black,0,1,0.0,0.0,12760.17,NSW61,1.0,False
NSW65,1,29,4,black,0,1,0.0,0.0,762.9146,NSW65,1.0,True
PSID356,0,36,1,black,0,1,348.7495,0.0,0.0,NSW65,1.0,False
NSW68,1,23,7,white,0,1,0.0,0.0,0.0,NSW68,1.0,True
PSID247,0,18,7,white,0,1,491.776,558.5806,642.8111,NSW68,1.0,False
NSW69,1,45,5,black,1,1,0.0,0.0,8546.715,NSW69,1.0,True
PSID354,0,50,5,black,1,1,411.446,0.0,9166.338,NSW69,1.0,False
NSW72,1,46,13,black,0,0,0.0,0.0,647.2046,NSW72,1.0,True
PSID412,0,53,12,black,0,0,0.0,0.0,0.0,NSW72,1.0,False
NSW73,1,18,6,black,0,1,0.0,0.0,0.0,NSW73,1.0,True
PSID291,0,16,6,black,0,1,0.0,44.75806,0.0,NSW73,1.0,False
NSW75,1,28,15,black,0,0,0.0,0.0,9598.541,NSW75,1.0,True
PSID399,0,27,14,black,0,0,0.0,0.0,10122.43,NSW75,1.0,False
NSW76,1,25,11,white,0,1,0.0,0.0,18783.35,NSW76,1.0,True
PSID342,0,20,10,white,0,1,1412.631,0.0,6290.682,NSW76,1.0,False
NSW78,1,21,9,black,0,1,0.0,0.0,0.0,NSW78,1.0,True
PSID372,0,20,9,black,0,1,0.0,0.0,6083.8,NSW78,1.0,False
NSW79,1,40,11,black,0,1,0.0,0.0,23005.6,NSW79,1.0,True
PSID226,0,39,10,black,0,1,844.444,889.7903,701.9201,NSW79,1.0,False
NSW80,1,22,11,black,0,1,0.0,0.0,6456.697,NSW80,1.0,True
PSID277,0,19,10,black,0,1,1056.045,205.8871,0.0,NSW80,1.0,False
NSW81,1,25,12,black,0,0,0.0,0.0,0.0,NSW81,1.0,True
PSID352,0,24,12,black,0,0,566.2281,0.0,2284.565,NSW81,1.0,False
NSW83,1,38,12,white,0,0,0.0,0.0,4941.849,NSW83,1.0,True
PSID361,0,37,12,white,0,0,48.98167,0.0,877.7696,NSW83,1.0,False
NSW87,1,23,8,hispan,0,1,0.0,0.0,3881.284,NSW87,1.0,True
PSID265,0,19,8,hispan,0,1,368.3422,300.7742,18510.0,NSW87,1.0,False
NSW89,1,21,12,white,0,0,0.0,0.0,8048.603,NSW89,1.0,True
PSID383,0,19,12,white,0,0,0.0,0.0,0.0,NSW89,1.0,False
NSW9,1,22,16,black,0,0,0.0,0.0,2164.022,NSW9,1.0,True
PSID330,0,22,16,black,0,0,2564.68,0.0,116.7404,NSW9,1.0,False
NSW91,1,31,11,black,1,1,0.0,0.0,14509.93,NSW91,1.0,True
PSID375,0,46,11,black,1,1,0.0,0.0,2820.98,NSW91,1.0,False
NSW92,1,17,10,black,0,1,0.0,0.0,0.0,NSW92,1.0,True
PSID401,0,17,10,black,0,1,0.0,0.0,1053.619,NSW92,1.0,False
NSW94,1,21,12,black,0,0,0.0,0.0,9983.784,NSW94,1.0,True
PSID386,0,20,12,black,0,0,0.0,0.0,11594.24,NSW94,1.0,False
NSW96,1,25,12,white,0,0,0.0,0.0,5587.503,NSW96,1.0,True
PSID407,0,23,12,white,0,0,0.0,0.0,3902.676,NSW96,1.0,False
NSW97,1,18,9,black,0,1,0.0,0.0,4482.845,NSW97,1.0,True
PSID268,0,16,9,black,0,1,0.0,277.5,3983.951,NSW97,1.0,False
NSW98,1,42,12,black,0,0,0.0,0.0,2456.153,NSW98,1.0,True
PSID395,0,53,12,white,0,0,0.0,0.0,0.0,NSW98,1.0,False
